Date,Site,Camera,VidFile,VidRecord,BiStart,BiEnd,Species,BiTotal,nInd,Length
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:03,8:22,Ctenochaetus striatus,3,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:31,8:36,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:35,8:39,Ctenochaetus striatus,0,1,20_30
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:29,8:42,Hemigymnus melapterus,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:45,8:56,Thalassoma lunare,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:54,9:20,Chlorurus spilurus,18,2,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:55,9:05,Hemigymnus melapterus,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,8:55,8:59,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:05,9:12,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:23,9:32,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:26,9:32,Chlorurus spilurus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:46,9:49,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:52,10:02,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:27,9:37,Hemigymnus melapterus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:37,9:43,Stegastes apicalis,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,9:58,10:39,Hemigymnus melapterus,9,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,10:36,10:47,Ctenochaetus striatus,1,2,20_30
1/12/2019,Lagoon1,GP-9,GP019038,CC,10:08,10:25,Pomacentrus wardi,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,10:21,12:00,Chlorurus spilurus,45,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,11:14,11:34,Scarus altipinnis,2,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,11:27,11:31,Ctenochaetus striatus,0,1,10_20
1/12/2019,Lagoon1,GP-9,GP019038,CC,11:41,12:00,Pomacentrus wardi,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP019038,CC,11:20,11:23,Hemigymnus melapterus,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,0:03,0:08,Stegastes apicalis,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,0:03,0:07,Acanthochromis polyacanthus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,0:10,1:09,Acanthochromis polyacanthus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,0:15,0:21,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,1:12,1:15,Stegastes apicalis,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,1:46,2:00,Acanthochromis polyacanthus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP039038,CC,1:59,2:10,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,9:00,12:00,Acanthochromis polyacanthus,25,4,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,9:00,9:14,Hemigymnus melapterus,6,1,10_20
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,9:00,9:13,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,9:07,9:18,Scarus altipinnis,2,1,10_20
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,9:19,9:53,Hemigymnus melapterus,19,1,20_30
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,9:40,10:00,Ctenochaetus striatus,11,1,10_20
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,10:07,10:11,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,10:14,10:18,Scarus altipinnis,0,1,10_20
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,10:21,11:00,Pomacentrus wardi,11,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,10:56,11:12,Hemigymnus melapterus,3,1,20_30
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,11:17,11:24,Chlorurus spilurus,2,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,11:20,11:38,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,11:29,12:00,Hemigymnus melapterus,6,1,5_10
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,11:39,11:45,Ctenochaetus striatus,0,1,10_20
1/12/2019,Lagoon1,GP-9,GOPR9038,CC,11:50,12:00,Chlorurus spilurus,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,0:00,6:26,Acanthochromis polyacanthus,46,11,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,0:00,0:02,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,0:06,0:30,Hemigymnus melapterus,9,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,0:31,0:41,Thalassoma lunare,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,0:40,0:49,Chlorurus spilurus,4,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,0:42,1:11,Pomacentrus wardi,9,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,1:19,1:23,Chaetodon auriga,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,1:27,1:32,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,8:47,9:38,Acanthochromis polyacanthus,7,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,9:45,9:50,Acanthochromis polyacanthus,0,2,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,10:03,10:12,Acanthochromis polyacanthus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,10:18,10:24,Acanthochromis polyacanthus,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,1:23,1:32,Chlorurus spilurus,3,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,1:46,1:53,Pomacentrus wardi,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,1:52,2:20,Ctenochaetus striatus,16,1,10_20
1/12/2019,Lagoon1,GP-9,GP029038,CB,2:17,2:35,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,3:04,3:07,Ctenochaetus striatus,0,1,10_20
1/12/2019,Lagoon1,GP-9,GP029038,CB,3:06,3:09,Hemigymnus melapterus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,3:12,4:40,Hemigymnus melapterus,18,1,10_20
1/12/2019,Lagoon1,GP-9,GP029038,CB,3:37,3:52,Pomacentrus wardi,3,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,4:43,4:49,Thalassoma lunare,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,3:55,4:34,Ctenochaetus striatus,46,1,10_20
1/12/2019,Lagoon1,GP-9,GP029038,CB,4:46,4:51,Ctenochaetus striatus,0,1,10_20
1/12/2019,Lagoon1,GP-9,GP029038,CB,5:57,6:09,Hemigymnus melapterus,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,5:59,6:45,Pomacentrus wardi,7,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,6:59,7:07,Stegastes apicalis,0,2,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,7:01,7:37,Chlorurus spilurus,11,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,7:09,8:01,Pomacentrus wardi,13,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,7:27,7:58,Thalassoma lunare,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,7:42,7:51,Hemigymnus melapterus,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,7:53,8:06,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,8:19,9:40,Pomacentrus wardi,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,8:21,8:26,Hemigymnus melapterus,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,8:32,8:38,Thalassoma lunare,1,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,8:33,8:43,Hemigymnus melapterus,2,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,8:33,8:45,Chlorurus spilurus,6,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,9:16,9:30,Hemigymnus melapterus,0,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,10:35,10:53,Pomacentrus wardi,7,1,5_10
1/12/2019,Lagoon1,GP-9,GP029038,CB,11:04,11:07,Pomacentrus wardi,0,1,5_10
