Species,FeedingType,FoodTroph,FoodSeTroph,meanL
Novaculichthys taeniourus,hunting macrofauna (predator),3.25,0.4,23
Parupeneus barberinus,hunting macrofauna (predator),3.44,0.38,55
Parupeneus cyclostomus,hunting macrofauna (predator),4.08,0.71,15
Parupeneus multifasciatus,hunting macrofauna (predator),3.61,0.6,15
Plectropomus leopardus,hunting macrofauna (predator),4.41,0.96,31.666666666666668
Pomacanthus sexstriatus,hunting macrofauna (predator),2.63,0,15
Pomacentrus chrysurus,grazing on aquatic plants,2.64,0.21,48.333333333333336
Pomacentrus coelestis,variable,3.18,0.28,35
Pomacentrus grammorhynchus,grazing on aquatic plants,2.72,0.31,55
Pomacentrus moluccensis,grazing on aquatic plants,2.47,0,31
Pomacentrus wardi,grazing on aquatic plants,2,0,55
Scarus altipinnis,grazing on aquatic plants,2,0,35
Scarus chameleon,grazing on aquatic plants,2,0,25
Scarus flavipectoralis,grazing on aquatic plants,2,0,25
Scarus frenatus,grazing on aquatic plants,2,0,25
Scarus globiceps,browsing on substrate,2,0,23.333333333333332
Scarus niger,grazing on aquatic plants,2,0,19.11764705882353
Scarus psittacus,grazing on aquatic plants,2,0,25
Scarus rivulatus,grazing on aquatic plants,2.71,0.42,25
Scarus rubroviolaceus,grazing on aquatic plants,2,0,25
Scarus schlegeli,grazing on aquatic plants,2.75,0.32,25
Scolopsis bilineata,hunting macrofauna (predator),3.62,0.5,15
Siganus argenteus,grazing on aquatic plants,2.630000114440918,0.2225,15
Siganus corallinus,browsing on substrate,2.46,0.23,15
Siganus doliatus,grazing on aquatic plants,2,0,16.818181818181817
Siganus puellus,grazing on aquatic plants,3,0,15
Siganus punctatissimus,browsing on substrate,2,0,15
Siganus punctatus,grazing on aquatic plants,2,0,15
Siganus vulpinus,grazing on aquatic plants,2.68,0.3,15
Stegastes apicalis,NA,NA,NA,55
Stethojulis bandanensis,hunting macrofauna (predator),3.31,0.34,15
Stethojulis trilineata,variable,NA,NA,15
Sufflamen chrysopterum,variable,3.45,0.41,30
Taeniurops meyeni,hunting macrofauna (predator),4.2,0.69,55
Thalassoma hardwicke,variable,3.5,0.37,26.612903225806452
Thalassoma lunare,variable,3.5,0.37,55
Thalassoma lutescens,hunting macrofauna (predator),NA,NA,15
Thalassoma nigrofasciatum,NA,NA,NA,31
Uraspis uraspis,hunting macrofauna (predator),4.07,0.43,25
Zanclus cornutus,variable,2.49,0,15
Zebrasoma scopas,browsing on substrate,2,0,26.428571428571427
